genre,length,rating,score,title,vote,year
"Crime,Drama",115 min,R,8.3,"Three Billboards Outside Ebbing, Missouri","177,288",2017
Drama,108 min,,8.5,My Father and My Son,"55,125",2005
"Drama,Western",130 min,R,8.2,Unforgiven,"314,714",1992
"Comedy,Romance",121 min,NOT RATED,8.3,Some Like It Hot,"200,821",1959
"Action,Adventure,Thriller",140 min,PG-13,8.3,Batman Begins,"1,108,430",2005
Drama,138 min,NOT RATED,8.3,All About Eve,"96,712",1950
"Animation,Adventure,Comedy",96 min,PG,8.3,Up,"771,245",2009
"Crime,Drama,Mystery",88 min,NOT RATED,8.3,Rashomon,"119,858",1950
"Action,Adventure,Fantasy",127 min,PG-13,8.3,Indiana Jones and the Last Crusade,"585,224",1989
"Drama,Sci-Fi",153 min,NOT RATED,8.3,Metropolis,"129,723",1927
"Drama,Mystery",123 min,PG-13,8.4,A Separation,"177,427",2011
"Action,Drama,Thriller",110 min,NOT RATED,8.3,Yojimbo,"86,216",1961
"Comedy,Drama,Romance",125 min,NOT RATED,8.3,The Apartment,"128,117",1960
"Crime,Drama,Mystery",138 min,R,8.3,L.A. Confidential,"461,278",1997
"Crime,Drama",170 min,R,8.3,Scarface,"611,633",1983
"Adventure,Comedy,Fantasy",91 min,PG,8.3,Monty Python and the Holy Grail,"426,883",1975
Drama,126 min,R,8.3,Good Will Hunting,"702,456",1997
Drama,115 min,R,8.3,The Hunt,"212,952",2012
"Comedy,Crime",102 min,R,8.3,Snatch,"673,624",2000
Western,132 min,R,8.3,For a Few Dollars More,"184,602",1965
"Animation,Adventure,Comedy",103 min,G,8.3,Toy Story 3,"624,771",2010
"Comedy,Drama,Family",68 min,NOT RATED,8.3,The Kid,"83,942",1921
"Adventure,Drama,War",153 min,R,8.3,Inglourious Basterds,"1,025,598",2009
"Comedy,Crime,Drama",129 min,PG,8.3,The Sting,"200,715",1973
"Animation,Adventure,Comedy",81 min,G,8.3,Toy Story,"720,585",1995
"Comedy,Drama",170 min,PG-13,8.4,3 Idiots,"264,833",2009
"Drama,War",116 min,R,8.3,Full Metal Jacket,"557,523",1987
"Comedy,Musical,Romance",103 min,G,8.3,Singin' in the Rain,"177,631",1952
"Crime,Drama",129 min,NOT RATED,8.3,To Kill a Mockingbird,"249,240",1962
Drama,89 min,NOT RATED,8.3,Bicycle Thieves,"112,294",1948
"Adventure,Sci-Fi",149 min,G,8.3,2001: A Space Odyssey,"492,308",1968
"Crime,Drama",114 min,R,8.3,Taxi Driver,"583,129",1976
"Crime,Drama,Film-Noir",107 min,NOT RATED,8.3,Double Indemnity,"113,955",1944
"Drama,Romance,Sci-Fi",108 min,R,8.3,Eternal Sunshine of the Spotless Mind,"760,876",2004
"Adventure,Biography,Drama",216 min,PG,8.3,Lawrence of Arabia,"220,795",1962
"Comedy,Romance",122 min,R,8.3,Amélie,"606,309",2001
"Crime,Drama,Sci-Fi",136 min,R,8.3,A Clockwork Orange,"635,662",1971
"Drama,Family",165 min,PG,8.5,Like Stars on Earth,"118,624",2007
Drama,102 min,R,8.3,Requiem for a Dream,"651,811",2000
"Crime,Drama,Mystery",99 min,NOT RATED,8.4,M,"114,940",1931
"Animation,Drama,Fantasy",106 min,PG,8.5,Your Name,"82,773",2016
"Action,Biography,Drama",161 min,NOT RATED,8.6,Dangal,"87,617",2016
"Biography,Drama,History",160 min,R,8.3,Amadeus,"310,091",1984
"Action,Adventure,Fantasy",131 min,PG,8.3,Star Wars: Episode VI - Return of the Jedi,"795,669",1983
"Crime,Drama,Thriller",99 min,R,8.3,Reservoir Dogs,"760,138",1992
"Biography,Drama,History",178 min,R,8.4,Braveheart,"833,130",1995
"Mystery,Romance,Thriller",128 min,PG,8.4,Vertigo,"290,115",1958
"Drama,Mystery",119 min,PG,8.4,Citizen Kane,"335,827",1941
"Action,Adventure,Sci-Fi",137 min,R,8.4,Aliens,"557,757",1986
"Mystery,Thriller",120 min,R,8.4,Oldboy,"417,269",2003
"Crime,Drama",229 min,R,8.4,Once Upon a Time in America,"253,155",1984
Drama,122 min,R,8.4,American Beauty,"927,179",1999
"Action,Thriller",164 min,PG-13,8.4,The Dark Knight Rises,"1,290,081",2012
"Crime,Drama,Mystery",116 min,NOT RATED,8.4,Witness for the Prosecution,"78,796",1957
"Adventure,Mystery,Thriller",136 min,NOT RATED,8.4,North by Northwest,"248,783",1959
"Adventure,Drama,Thriller",149 min,R,8.4,Das Boot,"191,764",1981
